name,votes,perc,municipality,election
 Carlos (Charlie) Delgado Altieri (PPD) ,"  3,120", 36.3  ,Adjuntas,G
 Pedro Pierluisi (PNP) ,"  3,020", 35.1  ,Adjuntas,G
 César Augusto Vázquez Muñiz (PD) ,"  1,058", 12.3  ,Adjuntas,G
 Juan Dalmau Ramírez (PIP) ,  666, 7.7  ,Adjuntas,G
 Alexandra Lúgaro (MVC) ,  619, 7.2  ,Adjuntas,G
 Eliezer Molina Pérez (Ind.) ,  122, 1.4  ,Adjuntas,G
Jenniffer González Colón (PNP) ,"  3,587", 43.6  ,Adjuntas,R
 Aníbal Acevedo Vilá (PPD) ,"  2,819", 34.3  ,Adjuntas,R
 Ada Norah Henriquez (PD) ,  971, 11.8  ,Adjuntas,R
 Zayira Jordán Conde (MVC) ,  546, 6.6  ,Adjuntas,R
 Luis Roberto Piñero (PIP) ,  299, 3.6,Adjuntas,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  6,236", 36.4  ,Aguada,G
 Pedro Pierluisi (PNP) ,"  5,678", 33.1  ,Aguada,G
 Alexandra Lúgaro (MVC) ,"  2,347", 13.7  ,Aguada,G
 Juan Dalmau Ramírez (PIP) ,"  1,639", 9.6  ,Aguada,G
 César Augusto Vázquez Muñiz (PD) ,"  1,079", 6.3  ,Aguada,G
 Eliezer Molina Pérez (Ind.) ,  157, 0.9,Aguada,G
Jenniffer González Colón (PNP) ,"  7,343", 44.6  ,Aguada,R
 Aníbal Acevedo Vilá (PPD) ,"  5,369", 32.6  ,Aguada,R
 Zayira Jordán Conde (MVC) ,"  1,888", 11.5  ,Aguada,R
 Ada Norah Henriquez (PD) ,"  1,173", 7.1  ,Aguada,R
 Luis Roberto Piñero (PIP) ,  697, 4.2  ,Aguada,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  6,715", 35.6  ,Aguadilla,G
 Pedro Pierluisi (PNP) ,"  6,687", 35.5  ,Aguadilla,G
 Alexandra Lúgaro (MVC) ,"  2,147", 11.4  ,Aguadilla,G
 Juan Dalmau Ramírez (PIP) ,"  1,625", 8.6  ,Aguadilla,G
 César Augusto Vázquez Muñiz (PD) ,"  1,535", 8.1  ,Aguadilla,G
 Eliezer Molina Pérez (Ind.) ,  131, 0.7 ,Aguadilla,G
 Jenniffer González Colón (PNP) ,"  8,167", 44.6  ,Aguadilla,R
 Aníbal Acevedo Vilá (PPD) ,"  5,914", 32.3  ,Aguadilla,R
 Zayira Jordán Conde (MVC) ,"  1,873", 10.2  ,Aguadilla,R
 Ada Norah Henriquez (PD) ,"  1,514", 8.3  ,Aguadilla,R
 Luis Roberto Piñero (PIP) ,  824, 4.5  ,Aguadilla,R
Pedro Pierluisi (PNP) ,"  3,263", 34.4  ,Aguas Buenas,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  2,497", 26.3  ,Aguas Buenas,G
 Juan Dalmau Ramírez (PIP) ,"  1,517", 16.0  ,Aguas Buenas,G
 Alexandra Lúgaro (MVC) ,"  1,433", 15.1  ,Aguas Buenas,G
 César Augusto Vázquez Muñiz (PD) ,  722, 7.6  ,Aguas Buenas,G
 Eliezer Molina Pérez (Ind.) ,  60, 0.6 ,Aguas Buenas,G
Jenniffer González Colón (PNP) ,"  3,913", 42.8  ,Aguas Buenas,R
 Aníbal Acevedo Vilá (PPD) ,"  2,434", 26.6  ,Aguas Buenas,R
 Zayira Jordán Conde (MVC) ,"  1,233", 13.5  ,Aguas Buenas,R
 Luis Roberto Piñero (PIP) ,  822, 9.0  ,Aguas Buenas,R
 Ada Norah Henriquez (PD) ,  748, 8.2,Aguas Buenas,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  3,784", 34.8  ,Aibonito,G
 Pedro Pierluisi (PNP) ,"  3,117", 28.7  ,Aibonito,G
 Alexandra Lúgaro (MVC) ,"  1,811", 16.7  ,Aibonito,G
 Juan Dalmau Ramírez (PIP) ,"  1,542", 14.2  ,Aibonito,G
 César Augusto Vázquez Muñiz (PD) ,  545, 5.0  ,Aibonito,G
 Eliezer Molina Pérez (Ind.) ,  69, 0.6,Aibonito,G
 Jenniffer González Colón (PNP) ,"  3,931", 37.5  ,Aibonito,R
 Aníbal Acevedo Vilá (PPD) ,"  3,629", 34.6  ,Aibonito,R
 Zayira Jordán Conde (MVC) ,"  1,538", 14.7  ,Aibonito,R
 Luis Roberto Piñero (PIP) ,  717, 6.8  ,Aibonito,R
 Ada Norah Henriquez (PD) ,  665, 6.3,Aibonito,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  4,173", 35.9  ,Añasco,G
 Pedro Pierluisi (PNP) ,"  4,172", 35.9  ,Añasco,G
 Alexandra Lúgaro (MVC) ,"  1,504", 12.9  ,Añasco,G
 Juan Dalmau Ramírez (PIP) ,"  1,076", 9.2  ,Añasco,G
 César Augusto Vázquez Muñiz (PD) ,  612, 5.3  ,Añasco,G
 Eliezer Molina Pérez (Ind.) ,  98, 0.8 ,Añasco,G
 Jenniffer González Colón (PNP) ,"  5,085", 45.1  ,Añasco,R
 Aníbal Acevedo Vilá (PPD) ,"  3,800", 33.7  ,Añasco,R
 Zayira Jordán Conde (MVC) ,"  1,251", 11.1  ,Añasco,R
 Ada Norah Henriquez (PD) ,  637, 5.6  ,Añasco,R
 Luis Roberto Piñero (PIP) ,  505, 4.5,Añasco,R
Pedro Pierluisi (PNP) ,"  11,839", 35.6  ,Arecibo,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  11,075", 33.3  ,Arecibo,G
 César Augusto Vázquez Muñiz (PD) ,"  3,512", 10.6  ,Arecibo,G
 Alexandra Lúgaro (MVC) ,"  3,322", 10.0  ,Arecibo,G
